step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
0,2007-01-05 00:00:00,0.1,-0.0,0.6808228268082281,0.0,0.6808228268082281,0.022694094226940936,-0.022694094226940936,20
1,2007-01-05 00:05:00,0.1,-0.0,0.6833112143331119,0.0,0.6833112143331119,0.022777040477770398,-0.022777040477770398,20
2,2007-01-05 00:10:00,0.1,-0.0,0.6579296615792964,0.0,0.6579296615792964,0.02193098871930988,-0.02193098871930988,20
3,2007-01-05 00:15:00,0.1,-0.0,0.6760948905109487,0.0,0.6760948905109487,0.02253649635036496,-0.02253649635036496,20
4,2007-01-05 00:20:00,0.1081670750204177,0.7,1.5283842070338418,0.0,0.8283842070338419,0.050946140234461396,-0.050946140234461396,20
5,2007-01-05 00:25:00,0.1081670750204177,0.0,1.3006801592568014,0.0,1.3006801592568014,0.04335600530856004,-0.04335600530856004,20
6,2007-01-05 00:30:00,0.1,-0.44100000000000017,0.8641592568015922,0.0,1.3051592568015924,0.028805308560053075,-0.029662851437196932,20
7,2007-01-05 00:35:00,0.1,-0.0,1.3845388188453882,0.0,1.3845388188453882,0.04615129396151294,-0.04615129396151294,20
8,2007-01-05 00:40:00,0.1,-0.0,1.197660915726609,0.0,1.197660915726609,0.0399220305242203,-0.0399220305242203,20
9,2007-01-05 00:45:00,0.1,-0.0,1.6876244193762437,0.0,1.6876244193762437,0.05625414731254146,-0.05625414731254146,20
10,2007-01-05 00:50:00,0.1,-0.0,2.2248672859986725,0.0,2.2248672859986725,0.07416224286662242,-0.07416224286662242,20
11,2007-01-05 00:55:00,0.10052856823177157,0.0453035831451416,1.539580291837909,0.0,1.4942767086927673,0.05131934306126362,-0.05131934306126362,20
12,2007-01-05 01:00:00,0.1,-0.02854125738143885,1.42069563711093,0.0,1.4492368944923688,0.047356521237031005,-0.047360113142256396,20
13,2007-01-05 01:05:00,0.1,-0.0,1.4313205043132053,0.0,1.4313205043132053,0.047710683477106844,-0.047710683477106844,20
14,2007-01-05 01:10:00,0.1,-0.0,1.4539648307896482,0.0,1.4539648307896482,0.04846549435965494,-0.04846549435965494,20
15,2007-01-05 01:15:00,0.1,-0.0,1.542053749170537,0.0,1.542053749170537,0.0514017916390179,-0.0514017916390179,20
16,2007-01-05 01:20:00,0.1,-0.0,1.488802256138022,0.0,1.488802256138022,0.0496267418712674,-0.0496267418712674,20
17,2007-01-05 01:25:00,0.1,-0.0,1.4420205706702056,0.0,1.4420205706702056,0.048067352355673526,-0.048067352355673526,20
18,2007-01-05 01:30:00,0.1,-0.0,1.441522893165229,0.0,1.441522893165229,0.048050763105507634,-0.048050763105507634,20
19,2007-01-05 01:35:00,0.1,-0.0,1.4061877903118778,0.0,1.4061877903118778,0.04687292634372926,-0.04687292634372926,20
20,2007-01-05 01:40:00,0.1,-0.0,1.3780690112806897,0.0,1.3780690112806897,0.04593563370935633,-0.04593563370935633,20
21,2007-01-05 01:45:00,0.1,-0.0,1.3738387524883873,0.0,1.3738387524883873,0.04579462508294624,-0.04579462508294624,20
22,2007-01-05 01:50:00,0.1,-0.0,1.4071831453218313,0.0,1.4071831453218313,0.04690610484406105,-0.04690610484406105,20
23,2007-01-05 01:55:00,0.1,-0.0,1.4335600530856,0.0,1.4335600530856,0.047785335102853335,-0.047785335102853335,20
24,2007-01-05 02:00:00,0.1,-0.0,1.4529694757796943,0.0,1.4529694757796943,0.048432315859323144,-0.048432315859323144,20
25,2007-01-05 02:05:00,0.1081670750204177,0.7,2.1422694094226937,0.0,1.4422694094226938,0.07140898031408979,-0.07140898031408979,20
26,2007-01-05 02:10:00,0.1081670750204177,0.0,1.4574485733244855,0.0,1.4574485733244855,0.04858161911081618,-0.04858161911081618,20
27,2007-01-05 02:15:00,0.1,-0.44100000000000017,0.9895739880557398,0.0,1.43057398805574,0.03298579960185799,-0.03384334247900185,20
28,2007-01-05 02:20:00,0.1,-0.0,1.4046947577969473,0.0,1.4046947577969473,0.04682315859323158,-0.04682315859323158,20
29,2007-01-05 02:25:00,0.1,-0.0,1.413901791639018,0.0,1.413901791639018,0.047130059721300605,-0.047130059721300605,20
30,2007-01-05 02:30:00,0.1,-0.0,1.473125414731254,0.0,1.473125414731254,0.0491041804910418,-0.0491041804910418,20
31,2007-01-05 02:35:00,0.1,-0.0,1.4581950895819507,0.0,1.4581950895819507,0.048606502986065024,-0.048606502986065024,20
32,2007-01-05 02:40:00,0.1,-0.0,1.4683974784339746,0.0,1.4683974784339746,0.04894658261446582,-0.04894658261446582,20
33,2007-01-05 02:45:00,0.1,-0.0,1.4305739880557393,0.0,1.4305739880557393,0.04768579960185798,-0.04768579960185798,20
34,2007-01-05 02:50:00,0.1,-0.0,1.4489880557398807,0.0,1.4489880557398807,0.048299601857996026,-0.048299601857996026,20
35,2007-01-05 02:55:00,0.1,-0.0,1.4255972130059718,0.0,1.4255972130059718,0.04751990710019906,-0.04751990710019906,20
36,2007-01-05 03:00:00,0.1,-0.0,1.406436629064366,0.0,1.406436629064366,0.0468812209688122,-0.0468812209688122,20
37,2007-01-05 03:05:00,0.1,-0.0,1.4012110152621102,0.0,1.4012110152621102,0.04670703384207034,-0.04670703384207034,20
38,2007-01-05 03:10:00,0.1,-0.0,1.5012441937624421,0.0,1.5012441937624421,0.05004147312541474,-0.05004147312541474,20
39,2007-01-05 03:15:00,0.1,-0.0,1.5079628400796283,0.0,1.5079628400796283,0.05026542800265428,-0.05026542800265428,20
40,2007-01-05 03:20:00,0.10208513056045514,0.1787165403366089,1.6971306080207493,0.0,1.5184140676841404,0.05657102026735831,-0.05657102026735831,20
41,2007-01-05 03:25:00,0.1,-0.11259142041206385,1.347096701684817,0.0,1.459688122096881,0.0449032233894939,-0.0449591204874811,20
42,2007-01-05 03:30:00,0.1,-0.0,1.4835766423357661,0.0,1.4835766423357661,0.049452554744525534,-0.049452554744525534,20
43,2007-01-05 03:35:00,0.1,-0.0,1.4562043795620432,0.0,1.4562043795620432,0.04854014598540144,-0.04854014598540144,20
44,2007-01-05 03:40:00,0.1,-0.0,1.40270404777704,0.0,1.40270404777704,0.046756801592568,-0.046756801592568,20
