step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
47,2007-01-04 03:55:00,0.10417738133688897,-0.07067179679870605,1.3566672874746843,0.0,1.4273390842733904,0.04522224291582281,-0.04522224291582281,19
48,2007-01-04 04:00:00,0.1,-0.2255673132623947,1.177634412019622,0.0,1.4032017252820168,0.039254480400654074,-0.03947883294461467,19
49,2007-01-04 04:05:00,0.10553532477817765,0.47443268673760525,1.8743995082372733,0.0,1.3999668214996681,0.06247998360790911,-0.06247998360790911,19
50,2007-01-04 04:10:00,0.10016440591646326,-0.2255673132623947,1.219190483685183,0.0,1.4447577969475778,0.0406396827895061,-0.0406396827895061,19
51,2007-01-04 04:15:00,0.1056997306946409,0.47443268673760525,1.9234207424774858,0.0,1.4489880557398807,0.06411402474924953,-0.06411402474924953,19
52,2007-01-04 04:20:00,0.10032881183292652,-0.2255673132623947,1.2022694485159726,0.0,1.4278367617783674,0.040075648283865756,-0.040075648283865756,19
53,2007-01-04 04:25:00,0.1,-0.017754951186083053,1.4322284595637509,0.0,1.449983410749834,0.047740948652125026,-0.04774233866118289,19
54,2007-01-04 04:30:00,0.1,-0.0,1.4803417385534179,0.0,1.4803417385534179,0.049344724618447265,-0.049344724618447265,19
55,2007-01-04 04:35:00,0.1,-0.0,1.475862641008626,0.0,1.475862641008626,0.0491954213669542,-0.0491954213669542,19
56,2007-01-04 04:40:00,0.1,-0.0,1.4079296615792964,0.0,1.4079296615792964,0.04693098871930988,-0.04693098871930988,19
57,2007-01-04 04:45:00,0.1,-0.0,1.367120106171201,0.0,1.367120106171201,0.0455706702057067,-0.0455706702057067,19
58,2007-01-04 04:50:00,0.1,-0.0,1.4188785666887855,0.0,1.4188785666887855,0.047295952222959514,-0.047295952222959514,19
59,2007-01-04 04:55:00,0.1,-0.0,1.397478433974784,0.0,1.397478433974784,0.046582614465826136,-0.046582614465826136,19
60,2007-01-04 05:00:00,0.1,-0.0,1.3678666224286662,0.0,1.3678666224286662,0.04559555408095554,-0.04559555408095554,19
61,2007-01-04 05:05:00,0.1,-0.0,1.3920039814200396,0.0,1.3920039814200396,0.04640013271400132,-0.04640013271400132,19
62,2007-01-04 05:10:00,0.1,-0.0,1.4477438619774383,0.0,1.4477438619774383,0.04825812873258128,-0.04825812873258128,19
63,2007-01-04 05:15:00,0.1,-0.0,1.4382879893828795,0.0,1.4382879893828795,0.047942932979429316,-0.047942932979429316,19
64,2007-01-04 05:20:00,0.1,-0.0,1.440278699402787,0.0,1.440278699402787,0.0480092899800929,-0.0480092899800929,19
65,2007-01-04 05:25:00,0.1,-0.0,1.3885202388852025,0.0,1.3885202388852025,0.04628400796284008,-0.04628400796284008,19
66,2007-01-04 05:30:00,0.1,-0.0,1.4148971466489715,0.0,1.4148971466489715,0.04716323822163238,-0.04716323822163238,19
67,2007-01-04 05:35:00,0.1,-0.0,1.4193762441937625,0.0,1.4193762441937625,0.047312541473125413,-0.047312541473125413,19
68,2007-01-04 05:40:00,0.1,-0.0,1.3877737226277373,0.0,1.3877737226277373,0.046259124087591245,-0.046259124087591245,19
69,2007-01-04 05:45:00,0.1081670750204177,0.7,2.089017916390179,0.0,1.3890179163901792,0.0696339305463393,-0.0696339305463393,19
70,2007-01-04 05:50:00,0.1081670750204177,0.0,1.417883211678832,0.0,1.417883211678832,0.047262773722627736,-0.047262773722627736,19
71,2007-01-04 05:55:00,0.1,-0.44100000000000017,0.9923112143331118,0.0,1.433311214333112,0.033077040477770395,-0.033934583354914255,19
72,2007-01-04 06:00:00,0.1,-0.0,1.4310716655607165,0.0,1.4310716655607165,0.04770238885202388,-0.04770238885202388,19
73,2007-01-04 06:05:00,0.10752363749054458,0.6448509693145752,2.046310823329174,0.0,1.4014598540145984,0.06821036077763913,-0.06821036077763913,19
74,2007-01-04 06:10:00,0.106210499674477,-0.05514903068542476,1.3149571405156364,0.0,1.3701061712010612,0.04383190468385455,-0.04383190468385455,19
75,2007-01-04 06:15:00,0.11373413716502158,0.6448509693145752,2.0467064703586875,0.0010973854854167998,1.4029528865295289,0.06822354901195625,-0.06822354901195625,19
76,2007-01-04 06:20:00,0.112420999348954,-0.05514903068542476,1.3612859262800383,0.0021947709708335997,1.4186297279362967,0.045376197542667945,-0.045376197542667945,19
77,2007-01-04 06:25:00,0.1,-0.6707004281452734,0.7013392004017934,0.0032921564562507,1.3753317850033175,0.02337797334672645,-0.025361489913711115,19
78,2007-01-04 06:30:00,0.1,-0.0,1.356622947520029,0.0159716112059166,1.3725945587259456,0.0452207649173343,-0.0452207649173343,19
79,2007-01-04 06:35:00,0.1,-0.0,1.4001810508327386,0.0286510659555828,1.4288321167883213,0.04667270169442462,-0.04667270169442462,19
80,2007-01-04 06:40:00,0.1,-0.0,1.421592505173981,0.041330520705249,1.46292302587923,0.0473864168391327,-0.0473864168391327,19
81,2007-01-04 06:45:00,0.1,-0.0,1.4169077255198932,0.0609456255086403,1.4778533510285334,0.047230257517329774,-0.047230257517329774,19
82,2007-01-04 06:50:00,0.1,-0.0,1.3664366154079417,0.08056073031203159,1.4469973457199732,0.04554788718026473,-0.04554788718026473,19
83,2007-01-04 06:55:00,0.10183216235612909,0.15703463554382324,1.5060956949207691,0.1001758351154229,1.4492368944923688,0.0502031898306923,-0.0502031898306923,19
84,2007-01-04 07:00:00,0.1,-0.09893182039260894,1.2305795521801866,0.1309232657815506,1.460434638354346,0.04101931840600622,-0.041062475348184,19
85,2007-01-04 07:05:00,0.1,-0.0,1.269400969113038,0.1616706964476786,1.4310716655607165,0.042313365637101266,-0.042313365637101266,19
86,2007-01-04 07:10:00,0.1,-0.0,1.1844066904044415,0.19241812711380657,1.376824817518248,0.039480223013481384,-0.039480223013481384,19
87,2007-01-04 07:15:00,0.1,-0.0,1.2332150075228667,0.2005938843152223,1.433808891838089,0.04110716691742889,-0.04110716691742889,19
88,2007-01-04 07:20:00,0.1,-0.0,1.2056298276273565,0.20876964151663802,1.4143994691439945,0.04018766092091189,-0.04018766092091189,19
89,2007-01-04 07:25:00,0.10117804953771299,0.10097062587738037,1.308627085155345,0.2169453987180537,1.4246018579960182,0.0436209028385115,-0.0436209028385115,19
90,2007-01-04 07:30:00,0.1,-0.0636114943027494,1.0786874332585688,0.22059091981757967,1.362889847378898,0.035956247775285624,-0.03597409003515624,19
91,2007-01-04 07:35:00,0.1,-0.0,1.138155728956816,0.2242364409171057,1.3623921698739216,0.03793852429856054,-0.03793852429856054,19
92,2007-01-04 07:40:00,0.1,-0.0,1.1452102742142904,0.2278819620166317,1.3730922362309221,0.038173675807143016,-0.038173675807143016,19
93,2007-01-04 07:45:00,0.1,-0.0,1.1486146433123843,0.2506056619298184,1.3992203052422028,0.038287154777079474,-0.038287154777079474,19
94,2007-01-04 07:50:00,0.1,-0.0,1.0850813879911025,0.27332936184300477,1.3584107498341074,0.03616937959970342,-0.03616937959970342,19
95,2007-01-04 07:55:00,0.1,-0.0,1.1021718884760576,0.2960530617561918,1.3982249502322495,0.03673906294920192,-0.03673906294920192,19
96,2007-01-04 08:00:00,0.1,-0.0,1.097921191462682,0.3010502750270325,1.3989714664897146,0.036597373048756064,-0.036597373048756064,19
97,2007-01-04 08:05:00,0.1,-0.0,1.117310175935703,0.3060474882978735,1.4233576642335763,0.0372436725311901,-0.0372436725311901,19
98,2007-01-04 08:10:00,0.10139859854556094,0.11987388134002686,1.1794330284773504,0.3110447015687145,1.3706038487060381,0.03931443428257835,-0.03931443428257835,19
99,2007-01-04 08:15:00,0.1,-0.07552054524421724,0.938550824788135,0.3097507932058695,1.3238221632382219,0.031285027492937836,-0.03131017580835177,19
100,2007-01-04 08:20:00,0.1,-0.0,1.0516957362585015,0.30845688484302447,1.360152621101526,0.03505652454195005,-0.03505652454195005,19
101,2007-01-04 08:25:00,0.1,-0.0,1.0920573287620232,0.3071629764801795,1.3992203052422028,0.03640191095873411,-0.03640191095873411,19
102,2007-01-04 08:30:00,0.1,-0.0,1.066635982971028,0.3179028358743603,1.3845388188453882,0.03555453276570093,-0.03555453276570093,19
103,2007-01-04 08:35:00,0.1,-0.0,1.073314836251034,0.3286426952685414,1.4019575315195754,0.035777161208367804,-0.035777161208367804,19
104,2007-01-04 08:40:00,0.1,-0.0,1.2001828069829306,0.3393825546627225,1.539565361645653,0.04000609356609769,-0.04000609356609769,19
