step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
0,2007-01-06 00:00:00,0.1,-0.0,1.022976111479761,0.0,1.022976111479761,0.03409920371599203,-0.03409920371599203,21
1,2007-01-06 00:05:00,0.1,-0.0,1.005557398805574,0.0,1.005557398805574,0.0335185799601858,-0.0335185799601858,21
2,2007-01-06 00:10:00,0.1081670750204177,0.7,1.678185136031851,0.0,0.978185136031851,0.05593950453439503,-0.05593950453439503,21
3,2007-01-06 00:15:00,0.1081670750204177,0.0,0.9722130059721299,0.0,0.9722130059721299,0.032407100199071,-0.032407100199071,21
4,2007-01-06 00:20:00,0.1,-0.44100000000000017,0.46551957531519517,0.0,0.9065195753151953,0.015517319177173174,-0.01637486205431703,21
5,2007-01-06 00:25:00,0.1,-0.0,0.8719309887193099,0.0,0.8719309887193099,0.029064366290643663,-0.029064366290643663,21
6,2007-01-06 00:30:00,0.10191381397387513,0.16403299570083618,1.0197894655084003,0.0,0.8557564698075641,0.033992982183613345,-0.033992982183613345,21
7,2007-01-06 00:35:00,0.1,-0.103340787291527,0.7086200620780816,0.0,0.8119608493696086,0.023620668735936053,-0.02366775803183838,21
8,2007-01-06 00:40:00,0.1,-0.0,0.8281353682813535,0.0,0.8281353682813535,0.027604512276045115,-0.027604512276045115,21
9,2007-01-06 00:45:00,0.1,-0.0,0.7840909090909085,0.0,0.7840909090909085,0.026136363636363614,-0.026136363636363614,21
10,2007-01-06 00:50:00,0.1,-0.0,0.759704711347047,0.0,0.759704711347047,0.0253234903782349,-0.0253234903782349,21
11,2007-01-06 00:55:00,0.1,-0.0,0.7786164565361646,0.0,0.7786164565361646,0.025953881884538822,-0.025953881884538822,21
12,2007-01-06 01:00:00,0.1,-0.0,0.829130723291307,0.0,0.829130723291307,0.0276376907763769,-0.0276376907763769,21
13,2007-01-06 01:05:00,0.100091875716305,0.007874667644500732,0.48340552364980915,0.0,0.4755308560053084,0.016113517454993637,-0.016113517454993637,21
14,2007-01-06 01:10:00,0.1,-0.004961040616035583,0.15031434093671822,0.0,0.1552753815527538,0.005010478031223941,-0.005010586554833516,21
15,2007-01-06 01:15:00,0.1,-0.0,0.11048440610484361,0.0,0.11048440610484361,0.00368281353682812,-0.00368281353682812,21
16,2007-01-06 01:20:00,0.1,-0.0,0.151791639017916,0.0,0.151791639017916,0.0050597213005972004,-0.0050597213005972004,21
17,2007-01-06 01:25:00,0.1,-0.0,0.13088918380889158,0.0,0.13088918380889158,0.00436297279362972,-0.00436297279362972,21
18,2007-01-06 01:30:00,0.1,-0.0,0.102770404777704,0.0,0.102770404777704,0.0034256801592568,-0.0034256801592568,21
19,2007-01-06 01:35:00,0.1081670750204177,0.7,0.8189449236894489,0.0,0.118944923689449,0.027298164122981628,-0.027298164122981628,21
20,2007-01-06 01:40:00,0.11603913020675957,0.6747138500213623,0.8414358141885817,0.0,0.1667219641672194,0.028047860472952726,-0.028047860472952726,21
21,2007-01-06 01:45:00,0.11543704891272731,-0.02528614997863765,0.13770323290125575,0.0,0.1629893828798934,0.004590107763375192,-0.004590107763375192,21
22,2007-01-06 01:50:00,0.11183463161298281,-0.15129396151293958,0.0,0.0,0.15129396151293958,0.0,0.0,21
23,2007-01-06 01:55:00,0.10922169406497735,-0.10973788984737841,0.0,0.0,0.10973788984737841,0.0,0.0,21
