episode,reward,q1,q2,actor_loss,critic_loss,alpha,entropy,target_entropy,val_reward,buffer_size,patience_counter,best_val,difficulty
0,-8.900828558398137,,,,,,,-1.0,-52.03380052538987,288,0,-52.03380052538987,0.1
1,-8.200947872159547,0.6859464645385742,0.6892156600952148,-1.3338452000170946,0.11214962298981845,0.9950574152171612,-0.6725184265524149,-1.0,-51.92701597850087,576,0,-51.92701597850087,0.1
2,-7.131804887170327,1.0628289116753473,1.0628712972005208,-1.70790035981271,0.04588095781057038,0.9693558075361781,-0.6795355952862236,-1.0,-50.956242910513204,864,0,-50.956242910513204,0.1
3,-8.399660875555243,1.5030653211805556,1.5031467013888888,-2.126755034757985,0.0371460820768132,0.9292246277133623,-0.6793227901475297,-1.0,-50.53443830565026,1152,0,-50.53443830565026,0.1
4,-8.57189628937884,1.8810933430989583,1.8812628851996527,-2.483144995239046,0.03418696414317108,0.8914891742169857,-0.6812914405018091,-1.0,-50.76004264668048,1440,1,-50.53443830565026,0.12000000000000001
5,-9.299506101701814,2.2458563910590277,2.2461140950520835,-2.8244083722432456,0.030756076448597014,0.8559294425778918,-0.68154119555321,-1.0,-50.991785636274834,1728,2,-50.53443830565026,0.12000000000000001
6,-8.285062855000913,2.5963812934027777,2.5966389973958335,-3.1524754058983593,0.027472895078567997,0.8223563138809469,-0.6817120462656021,-1.0,-50.7704560628469,2016,3,-50.53443830565026,0.12000000000000001
7,-8.036983840813038,2.9279581705729165,2.9283921983506946,-3.4622992426156998,0.02572139341888639,0.7906183472110165,-0.6814081350134479,-1.0,-49.54441185873137,2304,0,-49.54441185873137,0.12000000000000001
8,-9.239277306424285,3.240505642361111,3.240817599826389,-3.7545126196410923,0.024317007657373324,0.7605493296351697,-0.6822136419100894,-1.0,-49.46864984677313,2592,0,-49.46864984677313,0.12000000000000001
9,-9.327026514927303,3.5333930121527777,3.53363037109375,-4.0277618327074585,0.0230034219146344,0.7320105545222759,-0.6826583221554756,-1.0,-50.838407493807495,2880,1,-49.46864984677313,0.14
10,-8.160648678915452,3.8046061197916665,3.804775661892361,-4.279728458987342,0.02181861549292484,0.7048995788726542,-0.6823001568102174,-1.0,-51.84973299348551,3168,2,-49.46864984677313,0.14
11,-8.040442037262189,4.054050021701389,4.054165310329861,-4.5113057610061436,0.020783470138364162,0.6791071647571193,-0.6823794471306933,-1.0,-50.36921753527043,3456,3,-49.46864984677313,0.14
12,-8.529973046759554,4.286512586805555,4.286607530381945,-4.72644246617953,0.019372334380427167,0.6545360974139638,-0.6824757661670446,-1.0,-51.859490382655366,3744,4,-49.46864984677313,0.14
13,-7.214196435521543,4.4984130859375,4.498494466145833,-4.921969779663616,0.018102881964296103,0.6311059718330702,-0.6822604696369834,-1.0,-50.88736186668172,4032,5,-49.46864984677313,0.14
14,-7.272106457151377,4.697591145833333,4.697645399305555,-5.105152754320039,0.01741296200715523,0.6087407341433896,-0.6815445305158695,-1.0,-51.918730929761644,4320,6,-49.46864984677313,0.16
15,-6.763698099917982,4.877210828993055,4.877278645833333,-5.270009249448776,0.016076825918086495,0.5873576605485545,-0.6818999275565147,-1.0,-49.34481163210418,4608,0,-49.34481163210418,0.16
16,-7.167516423872205,5.044094509548611,5.044053819444445,-5.422350933154424,0.015547225785364086,0.5668966761893697,-0.6811412901928028,-1.0,-51.84125912036683,4896,1,-49.34481163210418,0.16
17,-6.984351508229527,5.195963541666667,5.196004231770833,-5.560434088110924,0.014371952090489989,0.5473051058749357,-0.6810896485630009,-1.0,-51.73664986202942,5184,2,-49.34481163210418,0.16
18,-7.586342395739422,5.337076822916667,5.337131076388889,-5.68879138595528,0.013695309119712975,0.5285315509471629,-0.6812900898771154,-1.0,-49.77252158149131,5472,3,-49.34481163210418,0.16
19,-7.1906206582639065,5.462320963541667,5.462334526909722,-5.800861689779493,0.013063933923452472,0.5105241599182287,-0.6808894318011072,-1.0,-51.886318620430664,5760,4,-49.34481163210418,0.18
20,-8.050465307332596,5.580417209201389,5.580552842881945,-5.907570441563924,0.012543302792538371,0.4932328052818775,-0.6809187448687024,-1.0,-51.388131783604855,6048,5,-49.34481163210418,0.18
21,-7.34557046266439,5.6846923828125,5.684977213541667,-6.0001127736435995,0.012140900924957046,0.4766197090761529,-0.6803705299066173,-1.0,-51.84327547650338,6336,6,-49.34481163210418,0.18
22,-7.756132807291012,5.782606336805555,5.78271484375,-6.086888770262401,0.011398554346265478,0.4606608121345441,-0.6799833466195397,-1.0,-51.19335862981865,6624,7,-49.34481163210418,0.18
23,-7.470131392905497,5.866400824652778,5.866550021701389,-6.160477083590296,0.010934255199067088,0.4453124033494128,-0.6805636822763417,-1.0,-50.776738285898325,6912,8,-49.34481163210418,0.18
24,-8.901341658185464,5.948757595486111,5.9488525390625,-6.232748117711809,0.010867869639898546,0.4305310019602378,-0.6805313682804505,-1.0,-51.899717189780574,7200,9,-49.34481163210418,0.19999999999999998
25,-7.802459938947995,6.016777886284722,6.0169677734375,-6.291453033685684,0.010497191573247418,0.41630701368881595,-0.6803318582889106,-1.0,-51.82282137097845,7488,10,-49.34481163210418,0.19999999999999998
26,-7.5051001567799736,6.079033745659722,6.079006618923611,-6.344153412514263,0.010124559899041843,0.40260132774710655,-0.6806517684211334,-1.0,-51.73832659304145,7776,11,-49.34481163210418,0.19999999999999998
27,-9.131831181472013,6.137491861979167,6.137437608506945,-6.393174512518777,0.009600162030740952,0.38938913577132755,-0.6796659899668561,-1.0,-51.23310427576047,8064,12,-49.34481163210418,0.19999999999999998
28,-8.382109574640316,6.187120225694445,6.187038845486111,-6.434424195024702,0.009402277743599067,0.37665325092772645,-0.6797092482447624,-1.0,-51.823758300676936,8352,13,-49.34481163210418,0.19999999999999998
29,-7.467135656276732,6.228217230902778,6.228298611111111,-6.467298360334502,0.009065196320686178,0.3643726981762383,-0.6792533728811476,-1.0,-51.4976984294849,8640,14,-49.34481163210418,0.21999999999999997
30,-7.250733077967631,6.269327799479167,6.269368489583333,-6.501091592841679,0.008948926642511247,0.35252247957719696,-0.6795866930236419,-1.0,-51.90961394744647,8928,15,-49.34481163210418,0.21999999999999997
31,-7.035034481089908,6.302259657118055,6.3023681640625,-6.52622268597285,0.008716532148860602,0.34108596067461705,-0.6787507416059574,-1.0,-51.9044944505492,9216,16,-49.34481163210418,0.21999999999999997
32,-8.400926543149351,6.330905490451389,6.330946180555555,-6.547251418232918,0.008319295577368595,0.3300465335034662,-0.6791292304793993,-1.0,-51.88784549044749,9504,17,-49.34481163210418,0.21999999999999997
33,-7.668415443018311,6.358100043402778,6.358113606770833,-6.566930005947749,0.007982824515137408,0.3193898256868124,-0.6783826206293371,-1.0,-51.86405419997687,9792,18,-49.34481163210418,0.21999999999999997
34,-8.602103438110358,6.374457465277778,6.374457465277778,-6.577079961697261,0.0076504390890477225,0.3090940947747893,-0.6790800371931659,-1.0,-51.8850134733861,10080,19,-49.34481163210418,0.23999999999999996
35,-8.730557781714014,6.391018337673611,6.390936957465278,-6.586862297521697,0.007400270114885643,0.2991450389640199,-0.6783651386698087,-1.0,-50.657550113117225,10368,20,-49.34481163210418,0.23999999999999996
36,-8.506950706936108,6.402235243055555,6.402384440104167,-6.59205517007245,0.0072989094915101305,0.2895337440487411,-0.6778275606532892,-1.0,-51.92015910345691,10656,21,-49.34481163210418,0.23999999999999996
37,-8.16464849126433,6.412611219618055,6.412679036458333,-6.595728317896525,0.006726232389660759,0.2802476661486758,-0.6764917711002959,-1.0,-51.88920173988638,10944,22,-49.34481163210418,0.23999999999999996
38,-7.134394277551753,6.413289388020833,6.413397894965278,-6.590538327892621,0.006687545249911232,0.2712744898680184,-0.6766701131645176,-1.0,-51.96054156419265,11232,23,-49.34481163210418,0.23999999999999996
39,-7.090169824316796,6.416110568576389,6.416246202256945,-6.587922187315093,0.006754510352038778,0.26259542049633133,-0.6765438576953279,-1.0,-51.92857385809251,11520,24,-49.34481163210418,0.25999999999999995
40,-6.924791304321311,6.416069878472222,6.416124131944445,-6.5820327616400185,0.006359220839739364,0.2542032945073313,-0.676317012972302,-1.0,-51.96338806222753,11808,25,-49.34481163210418,0.25999999999999995
41,-7.577093750378198,6.411458333333333,6.411282009548611,-6.571626454591751,0.006245454361002582,0.24609074648469687,-0.6744843559960524,-1.0,-51.98820638276039,12096,26,-49.34481163210418,0.25999999999999995
42,-7.0217204867653695,6.405558268229167,6.405598958333333,-6.561028864648607,0.006011867462398691,0.23824267979297373,-0.6758296021984683,-1.0,-51.939257007330376,12384,27,-49.34481163210418,0.25999999999999995
43,-7.041102573498134,6.395521375868055,6.3955078125,-6.545667060547405,0.005962354635509352,0.23065060025287998,-0.6746560811168618,-1.0,-51.84320349967167,12672,28,-49.34481163210418,0.25999999999999995
44,-7.434854683530249,6.380466037326389,6.380560980902778,-6.525495554010074,0.005612114048239568,0.22330521502428585,-0.6742515785412656,-1.0,-51.95678077050735,12960,29,-49.34481163210418,0.27999999999999997
45,-8.986792479297025,6.370564778645833,6.370700412326389,-6.510968499713474,0.005679039939423092,0.216198585410085,-0.6743608713150024,-1.0,-51.9427354075038,13248,30,-49.34481163210418,0.27999999999999997
46,-7.205536372682823,6.354275173611111,6.354437934027778,-6.490454650587505,0.005583667210885324,0.20932350059350333,-0.6728464733395312,-1.0,-51.89189893219154,13536,31,-49.34481163210418,0.27999999999999997
47,-6.9341325766410655,6.3350830078125,6.335205078125,-6.4664297170109215,0.005437839655820021,0.20267608554826844,-0.6718995473865006,-1.0,-52.00102577830203,13824,32,-49.34481163210418,0.27999999999999997
48,-7.866784308498787,6.322075737847222,6.322211371527778,-6.449329454037878,0.005395697843697336,0.1962396859501799,-0.6717080577380128,-1.0,-51.954699149796795,14112,33,-49.34481163210418,0.27999999999999997
49,-7.244571976520389,6.296698676215278,6.296847873263889,-6.41997897459401,0.0054454576877307976,0.19001033622771502,-0.6713153041071362,-1.0,-51.99822649902867,14400,34,-49.34481163210418,0.3
50,-7.282390401988908,6.276394314236111,6.276326497395833,-6.395416461759144,0.005384385314149161,0.18398312386125326,-0.6704614263855748,-1.0,-52.00563282888461,14688,35,-49.34481163210418,0.3
51,-7.17631120863666,6.252780490451389,6.253024631076389,-6.368099288807975,0.005170928332113868,0.17814807759390938,-0.6702354715930091,-1.0,-52.02451432664759,14976,36,-49.34481163210418,0.3
52,-6.863078539300737,6.223904079861111,6.223822699652778,-6.335525946484672,0.005251627285259828,0.17249893210828304,-0.669871320327123,-1.0,-51.91812745982571,15264,37,-49.34481163210418,0.3
53,-7.332027986641046,6.196099175347222,6.196126302083333,-6.304353695776728,0.004968456444556877,0.16703277805613148,-0.6690480168908834,-1.0,-51.798002074155285,15552,38,-49.34481163210418,0.3
54,-6.662888854858418,6.169921875,6.1697998046875,-6.274215244584614,0.004984177336154971,0.1617395825063189,-0.668316702461905,-1.0,-51.985179779738154,15840,39,-49.34481163210418,0.32
55,-7.47448369179025,6.135715060763889,6.135782877604167,-6.236851973666085,0.004921589580286915,0.15661723228792349,-0.667229125690129,-1.0,-52.00027111291581,16128,40,-49.34481163210418,0.32
56,-7.094096858942966,6.105265299479167,6.105278862847222,-6.203086473875576,0.0047223120685278746,0.15165971612764728,-0.6671061354378859,-1.0,-51.71930411141266,16416,41,-49.34481163210418,0.32
57,-7.889251900726697,6.072075737847222,6.071967230902778,-6.166751540369457,0.0046998091695261085,0.14686071645054552,-0.665843734310733,-1.0,-51.91639401616448,16704,42,-49.34481163210418,0.32
58,-7.155239551247691,6.041585286458333,6.041517469618055,-6.133361536595556,0.004588760045104816,0.1422148569383555,-0.66570067157348,-1.0,-51.62783563959397,16992,43,-49.34481163210418,0.32
59,-7.071777168712644,6.008707682291667,6.008802625868055,-6.097464357813199,0.00448202288842165,0.13771620123750633,-0.663837366633945,-1.0,-51.864082009747335,17280,44,-49.34481163210418,0.34
60,-7.466191524256141,5.970513237847222,5.970594618055555,-6.0563235763046475,0.004216814771805528,0.13336213202112251,-0.6642412344614664,-1.0,-50.83091782988823,17568,45,-49.34481163210418,0.34
61,-7.019379778973222,5.931057400173611,5.930894639756945,-6.013956571618716,0.004168373770274532,0.12914612671981254,-0.6612026165756915,-1.0,-51.34522636026099,17856,46,-49.34481163210418,0.34
62,-6.713275501990121,5.894002278645833,5.893839518229167,-5.974343354503314,0.003914986264135223,0.12506499022452366,-0.660616350463695,-1.0,-49.75903470891027,18144,47,-49.34481163210418,0.34
63,-6.776448918143496,5.860297309027778,5.860148111979167,-5.938011022077666,0.0038097538555222047,0.1211131523984174,-0.660888578535782,-1.0,-49.69065059216239,18432,48,-49.34481163210418,0.34
64,-7.032381102342233,5.814832899305555,5.814683702256945,-5.8896987371974525,0.003768686353901608,0.1172894166989459,-0.6592480952127112,-1.0,-50.93916559388948,18720,49,-49.34481163210418,0.36000000000000004
65,-7.595422682915731,5.775661892361111,5.775824652777778,-5.848379487792651,0.0036475412901684954,0.11358540675913294,-0.6583067528489563,-1.0,-49.16070451238176,19008,0,-49.16070451238176,0.36000000000000004
66,-7.392014205443551,5.737738715277778,5.737779405381945,-5.808321820365058,0.003533034411601774,0.11000074953254727,-0.6581467791563935,-1.0,-51.24205574333598,19296,1,-49.16070451238176,0.36000000000000004
67,-6.544418584220309,5.697523328993055,5.697482638888889,-5.765704926517275,0.003818673912772081,0.10652862494397494,-0.65697864174015,-1.0,-51.09015743084513,19584,2,-49.16070451238176,0.36000000000000004
68,-7.4302687386248305,5.6527099609375,5.652723524305555,-5.718516016999881,0.0034204878263861043,0.10316511347062057,-0.6571564798553785,-1.0,-49.683598153876396,19872,3,-49.16070451238176,0.36000000000000004
69,-7.128890257004097,5.6107177734375,5.610758463541667,-5.6743821584516105,0.00336286310064477,0.09990992650596632,-0.6554338733355204,-1.0,-50.43968473202158,20160,4,-49.16070451238176,0.38000000000000006
70,-7.38189715978997,5.569566514756945,5.569471571180555,-5.631207585334778,0.003213508347269251,0.09675723221153021,-0.65294735526873,-1.0,-48.27968984168488,20448,0,-48.27968984168488,0.38000000000000006
71,-7.219321778880787,5.526516384548611,5.526462131076389,-5.586320492956373,0.0033242827751867785,0.09370578282202284,-0.6525873351428244,-1.0,-48.29582662949651,20736,1,-48.27968984168488,0.38000000000000006
72,-6.787796615170946,5.483981662326389,5.484035915798611,-5.541718812452422,0.003314747403944946,0.09075219116898046,-0.6504413276496861,-1.0,-49.276072565038284,21024,2,-48.27968984168488,0.38000000000000006
73,-6.9082589730912405,5.438449435763889,5.438313802083333,-5.4946794692013,0.0032437956316344854,0.08789521243630184,-0.6470784797436662,-1.0,-48.69456036300397,21312,3,-48.27968984168488,0.38000000000000006
74,-6.839457387144188,5.394965277777778,5.394911024305555,-5.4489728311697645,0.003300991581151417,0.08512958459970024,-0.6462564340068234,-1.0,-50.39103274631367,21600,4,-48.27968984168488,0.4000000000000001
75,-7.103838850987364,5.348592122395833,5.348619249131945,-5.4011946933137045,0.003133399278643386,0.08245151800413926,-0.6442572329607275,-1.0,-49.48789662687202,21888,5,-48.27968984168488,0.4000000000000001
76,-6.858709652335855,5.304782443576389,5.304714626736111,-5.355576203929053,0.003202397343152875,0.07985824248236087,-0.6407086414595445,-1.0,-50.568344370460096,22176,6,-48.27968984168488,0.4000000000000001
77,-6.799509010159057,5.260362413194445,5.260403103298611,-5.309741503662533,0.0032317154004380833,0.07734861892337601,-0.6386279014663564,-1.0,-51.57696556543126,22464,7,-48.27968984168488,0.4000000000000001
78,-7.106034230146977,5.216064453125,5.216118706597222,-5.263678131832017,0.0031217055293382145,0.07491803433125217,-0.6384835441907247,-1.0,-51.277994510596265,22752,8,-48.27968984168488,0.4000000000000001
79,-6.794845329149636,5.168877495659722,5.168863932291667,-5.215076982975006,0.0031294973434544066,0.07256446520073546,-0.6329166874703434,-1.0,-51.61602954505227,23040,9,-48.27968984168488,0.4200000000000001
80,-6.919856074421795,5.128404405381945,5.128526475694445,-5.173143507705794,0.0032225832150692846,0.07028738429976834,-0.6331276287221246,-1.0,-51.74546896107162,23328,10,-48.27968984168488,0.4200000000000001
81,-6.425339612862797,5.084052191840278,5.083970811631945,-5.127389204170969,0.0032889034232034143,0.06808025783134831,-0.6315755281183455,-1.0,-51.830917507189675,23616,11,-48.27968984168488,0.4200000000000001
82,-7.491332270997817,5.038926866319445,5.039008246527778,-5.080504400862588,0.0031054961921957633,0.06594268630983101,-0.6289250558863083,-1.0,-51.84781722656985,23904,12,-48.27968984168488,0.4200000000000001
83,-7.495646634746392,4.989827473958333,4.989732530381945,-5.030068872703446,0.0031981771891070013,0.06387238918493192,-0.6275232765409682,-1.0,-50.67599190487661,24192,13,-48.27968984168488,0.4200000000000001
84,-7.015260472994647,4.93896484375,4.939005533854167,-4.978138031231032,0.003118084292509593,0.06186940541697873,-0.6229012641641829,-1.0,-51.65788443981723,24480,14,-48.27968984168488,0.4400000000000001
85,-6.886869510878272,4.895792643229167,4.895887586805555,-4.933693852689531,0.0031762721094613275,0.059931092171205416,-0.6205605022195313,-1.0,-51.483367330743256,24768,15,-48.27968984168488,0.4400000000000001
86,-8.072652587854183,4.846693250868055,4.846611870659722,-4.883547469973564,0.003218336715589329,0.058053228460873164,-0.6184910573065281,-1.0,-51.5951493300278,25056,16,-48.27968984168488,0.4400000000000001
87,-7.99737657710459,4.801201714409722,4.801201714409722,-4.836767055922085,0.0031040657761170426,0.05623470645190941,-0.6177905402663681,-1.0,-51.770955513043134,25344,17,-48.27968984168488,0.4400000000000001
88,-6.362968612815372,4.755655924479167,4.755642361111111,-4.790151461958885,0.0032645611249285545,0.054472260668666825,-0.6135585196316242,-1.0,-51.99278536137418,25632,18,-48.27968984168488,0.4400000000000001
89,-7.483264975593211,4.708116319444445,4.708306206597222,-4.741543958584468,0.0032555862627406088,0.05276590960824655,-0.611778916998042,-1.0,-51.55485110198524,25920,19,-48.27968984168488,0.46000000000000013
90,-6.9145084948917654,4.662177191840278,4.662272135416667,-4.694290222393142,0.0031922573204307505,0.051112288893717855,-0.6107880398631096,-1.0,-51.915516123234454,26208,20,-48.27968984168488,0.46000000000000013
91,-6.443479564808394,4.618421766493055,4.618394639756945,-4.64946877459685,0.0031952659563911664,0.0495119646915959,-0.60661420909067,-1.0,-51.910449972072094,26496,21,-48.27968984168488,0.46000000000000013
92,-6.677676243011027,4.574205186631945,4.574286566840278,-4.604392583171527,0.003200145000139148,0.04796100012026727,-0.6070633394022783,-1.0,-52.03266120178525,26784,22,-48.27968984168488,0.46000000000000013
93,-7.0328071560391185,4.525539822048611,4.525553385416667,-4.554755808578597,0.0031781692280977345,0.04645634411523739,-0.6053559883601136,-1.0,-51.67819963692879,27072,23,-48.27968984168488,0.46000000000000013
94,-6.4784298675693375,4.479722764756945,4.479668511284722,-4.507714210285081,0.0032251089327878114,0.04499976934554676,-0.6028731740597222,-1.0,-51.783370168038836,27360,24,-48.27968984168488,0.48000000000000015
95,-7.1451960792792315,4.427449544270833,4.427463107638889,-4.454817116260529,0.003226844462106884,0.043589611899935536,-0.5977440741327074,-1.0,-52.00339828035757,27648,25,-48.27968984168488,0.48000000000000015
96,-7.565266539478742,4.383070203993055,4.3831787109375,-4.409490043918292,0.003181709537683572,0.0422246643445558,-0.5970937255769968,-1.0,-51.92499278609625,27936,26,-48.27968984168488,0.48000000000000015
97,-7.639445117312487,4.335367838541667,4.335286458333333,-4.360752469963497,0.0031250149824902313,0.04090302173669139,-0.594456965310706,-1.0,-51.21733062039015,28224,27,-48.27968984168488,0.48000000000000015
98,-6.630278348684518,4.287990993923611,4.287950303819445,-4.312230641643207,0.003135388771220783,0.039621686200714774,-0.5933398312578598,-1.0,-51.35759311568603,28512,28,-48.27968984168488,0.48000000000000015
99,-7.8602292503709705,4.241170247395833,4.241129557291667,-4.264625661902958,0.003230855150225883,0.03838083830972513,-0.5935294299076,-1.0,-49.83276616430704,28800,29,-48.27968984168488,0.5000000000000001
100,-7.352866047999782,4.193834092881945,4.193834092881945,-4.216540339920256,0.003246029435508212,0.037177654060845576,-0.5879470217559073,-1.0,-51.59270491601141,29088,30,-48.27968984168488,0.5000000000000001
101,-7.163383230651336,4.149576822916667,4.149590386284722,-4.171518585748142,0.0032730905069102948,0.03601390733900997,-0.5879645231697295,-1.0,-51.58457285685241,29376,31,-48.27968984168488,0.5000000000000001
102,-6.55043487037468,4.1036376953125,4.103569878472222,-4.124897422062026,0.003142039757221937,0.03488574378813306,-0.5852776730640067,-1.0,-49.89766135844121,29664,32,-48.27968984168488,0.5000000000000001
103,-6.473044706460213,4.060899522569445,4.060858832465278,-4.081632009810871,0.0032347311102461796,0.033793242648243904,-0.5823129620403051,-1.0,-51.797977686903074,29952,33,-48.27968984168488,0.5000000000000001
104,-7.282164222520442,4.015936957465278,4.015916612413195,-4.03607663181093,0.0031963621642919155,0.03273523826566008,-0.581282364204526,-1.0,-50.697299903848126,30240,34,-48.27968984168488,0.5200000000000001
105,-7.318556056251027,3.9716796875,3.9716593424479165,-3.990864858031273,0.0032322490798024875,0.03171056405537658,-0.5778690311643813,-1.0,-50.87626306325919,30528,35,-48.27968984168488,0.5200000000000001
