episode,reward,q1,q2,actor_loss,critic_loss,alpha,entropy,target_entropy,val_reward,buffer_size,patience_counter,best_val,difficulty
0,-14.02011286162966,0.955528391583357,1.1121570328250527,-2.8063144013285637,1.6454908642917871,0.9998351018875837,-1.770497690886259,-1.0,-43.598070624981176,288,0,-43.598070624981176,0.1
1,-13.60760726277883,2.733172919601202,2.7314971126616,-4.505619216296408,0.06659901556041506,0.9982362470279137,-1.7766914202107325,-1.0,-43.613788942799765,576,1,-43.598070624981176,0.1
2,-16.617785363432404,4.733418941497803,4.733595444096459,-6.502983038624127,0.035844110165877886,0.9953643768611882,-1.7823672923776839,-1.0,-43.49105753490502,864,0,-43.49105753490502,0.1
3,-13.172155182873757,6.806576467222637,6.806641010774507,-8.571968073646227,0.04191622295830813,0.992507241666317,-1.781368590063519,-1.0,-40.510337832584725,1152,0,-40.510337832584725,0.1
4,-12.11298479634036,8.932580871714485,8.93262835012542,-10.69293573167589,0.05001614586864081,0.9896621215674613,-1.7819611570901341,-1.0,-43.59313404735335,1440,1,-40.510337832584725,0.11
5,-14.473992006695902,11.079355796178183,11.079341130124199,-12.833618756797579,0.06010597754114618,0.9868278515835603,-1.7825697631471686,-1.0,-43.48329438071736,1728,2,-40.510337832584725,0.11
6,-10.456050887513678,13.217923591534296,13.21795923842324,-14.96608959303962,0.07164447757855265,0.9840048646761311,-1.7815375506050057,-1.0,-40.314857878641384,2016,0,-40.314857878641384,0.11
7,-12.584443261463456,15.327870590819252,15.327879899077946,-17.069824781682755,0.09071165265696537,0.981192791627513,-1.7810579016804695,-1.0,-40.29266189942573,2304,0,-40.29266189942573,0.11
8,-12.599884499543386,17.40929502911038,17.409251272678375,-19.144255055321587,0.10561998994995116,0.9783903838445743,-1.7811081123848755,-1.0,-43.51748735561487,2592,1,-40.29266189942573,0.11
9,-14.260539433142933,19.466723091072506,19.466753555668724,-21.196217503812576,0.12693713204417792,0.9755975028706921,-1.7814391276074781,-1.0,-43.49828332972396,2880,2,-40.29266189942573,0.12
10,-15.672962844277805,21.490293595525955,21.490191651715172,-23.211602946122486,0.14318797069912156,0.9728141004840533,-1.780905510402388,-1.0,-37.68812597820892,3168,0,-37.68812597820892,0.12
11,-13.890548969509798,23.471661077605354,23.47170677449968,-25.187572558720905,0.16501500483395326,0.9700395380043321,-1.7811788767576218,-1.0,-41.97975341460656,3456,1,-37.68812597820892,0.12
12,-12.919304864908764,25.42689021428426,25.42693371242947,-27.136253906620873,0.1741539530016275,0.9672731786138482,-1.7817099139922195,-1.0,-36.27572130481065,3744,0,-36.27572130481065,0.12
13,-14.692166265422383,27.343203829394447,27.34313170115153,-29.046348717477585,0.22309521052779424,0.9645155444741249,-1.7822934707833662,-1.0,-38.24511408698968,4032,1,-36.27572130481065,0.12
14,-14.170005456214554,29.233871241410572,29.233951456016964,-30.92988078461753,0.22228877239912334,0.9617663770914078,-1.7808801386919286,-1.0,-38.73726500035071,4320,2,-36.27572130481065,0.13
15,-14.353021879055401,31.080448071161907,31.080376664797466,-32.77040537198385,0.2851335343180431,0.9590257778763771,-1.7814331303040187,-1.0,-37.352202563617915,4608,3,-36.27572130481065,0.13
16,-13.418561286346314,32.88772451877594,32.88784009218216,-34.57052589787377,0.2810947254248377,0.956293412587709,-1.7814034894108772,-1.0,-36.15262386665429,4896,0,-36.15262386665429,0.13
17,-13.758348453994842,34.65649323993259,34.65647563669417,-36.33352842595842,0.30544692280495334,0.953569293849998,-1.780737042427063,-1.0,-37.236325504797264,5184,1,-36.15262386665429,0.13
18,-13.858440392356252,36.39827202426063,36.39831819799211,-38.07050001621246,0.32687542350807536,0.9508531488892105,-1.7816990696721606,-1.0,-32.465515806383074,5472,0,-32.465515806383074,0.13
19,-12.45703165061694,38.10768679777781,38.10774685276879,-39.77346506383684,0.37126730458759183,0.9481448613935046,-1.7810423266556528,-1.0,-38.27031126160575,5760,1,-32.465515806383074,0.14
20,-13.228043604660675,39.77249048815833,39.77249126964145,-41.43309105767144,0.36761659006070757,0.9454443520969815,-1.7815901177624862,-1.0,-37.64166263101446,6048,2,-32.465515806383074,0.14
21,-13.810553591201689,41.40534986390008,41.405388010872734,-43.057757099469505,0.47009016260401243,0.9427514161086745,-1.7813090189463563,-1.0,-38.25033953404374,6336,3,-32.465515806383074,0.14
22,-13.480815226241189,43.00292672051324,43.002866983413696,-44.64833802647061,0.4714592774139924,0.94006707581381,-1.7801457850469484,-1.0,-39.926980633692004,6624,4,-32.465515806383074,0.14
23,-12.420495835034535,44.564138770103455,44.56423362096151,-46.20600467258029,0.5194514610597657,0.9373901929292414,-1.781363980223735,-1.0,-36.412712351815074,6912,5,-32.465515806383074,0.14
24,-14.212757523438263,46.09512444337209,46.09518831306033,-47.730195336871674,0.48859497289069825,0.9347209402670463,-1.7806295487615798,-1.0,-34.55116256894981,7200,6,-32.465515806383074,0.15000000000000002
25,-12.86606834782879,47.59508244196574,47.5950776471032,-49.22469933827718,0.5440336802534552,0.9320592981659703,-1.7810890869134002,-1.0,-35.717214849132425,7488,7,-32.465515806383074,0.15000000000000002
26,-13.033968804546783,49.05393968688117,49.053873194588554,-50.67596113681793,0.6086830717718436,0.9294054702752166,-1.7801618340114753,-1.0,-37.79720337803493,7776,8,-32.465515806383074,0.15000000000000002
27,-13.334548164335628,50.47998130321503,50.47998164759742,-52.09724034203423,0.5990543362632808,0.9267589909334978,-1.7808954844044314,-1.0,-38.21447483686578,8064,9,-32.465515806383074,0.15000000000000002
28,-11.001861836218492,51.88794240686629,51.8881669971678,-53.497821635670135,0.6350061057859825,0.9241202920675278,-1.780221175816324,-1.0,-40.35857839322864,8352,10,-32.465515806383074,0.15000000000000002
29,-14.94345392250888,53.238718416955734,53.23844661977556,-54.841353787316216,0.6784190746127732,0.9214889220893383,-1.7806168099244435,-1.0,-34.62848662752612,8640,11,-32.465515806383074,0.16000000000000003
30,-13.664671975728414,54.565934220949806,54.56595530774858,-56.164783265855576,0.6440166811872687,0.9188648913469579,-1.780533736364709,-1.0,-36.85226635312054,8928,12,-32.465515806383074,0.16000000000000003
31,-12.905088834162235,55.86194294028812,55.862034214867485,-57.454816818237305,0.7504140561860468,0.9162487747768561,-1.7803718402153916,-1.0,-34.42210820227533,9216,13,-32.465515806383074,0.16000000000000003
32,-12.76559809012306,57.16030993726518,57.16039170159234,-58.74725283516778,0.772812040677915,0.913639512947864,-1.7809255346655846,-1.0,-35.971259007131856,9504,14,-32.465515806383074,0.16000000000000003
33,-12.060811282204504,58.35200525654687,58.351723723941376,-59.929919282595314,0.7661641181653572,0.9110378190461133,-1.7800096426573064,-1.0,-35.24078555689022,9792,15,-32.465515806383074,0.16000000000000003
34,-14.188245974757976,59.583656933572556,59.58390135235257,-61.15821691354116,0.7846070133253105,0.9084442154400878,-1.7803518035345607,-1.0,-35.95567529459377,10080,16,-32.465515806383074,0.17000000000000004
35,-16.85739825755835,60.783041225539314,60.7828516430325,-62.35165407922533,0.7706714583974745,0.905857075833612,-1.7811275083157752,-1.0,-32.73981583418841,10368,17,-32.465515806383074,0.17000000000000004
36,-13.314963487450338,61.95149714416928,61.95128230253855,-63.51016494962904,0.7984747407543991,0.903277694972025,-1.7792860476507082,-1.0,-35.049608684717334,10656,18,-32.465515806383074,0.17000000000000004
37,-13.43356126167099,63.03074709574381,63.03067013952467,-64.58508834573958,0.8557226672354672,0.9007064764284425,-1.7797064545253913,-1.0,-36.74432982431107,10944,19,-32.465515806383074,0.17000000000000004
38,-11.36982614239856,64.09839452637567,64.09870437781017,-65.64563772413466,0.842454234448572,0.8981420697851313,-1.77955383186539,-1.0,-36.41338769168416,11232,20,-32.465515806383074,0.17000000000000004
39,-12.439446172003661,65.16947306527032,65.16927067438762,-66.71133701006572,0.8581241393047903,0.8955851967136065,-1.779507574521833,-1.0,-36.478113725665,11520,21,-32.465515806383074,0.18000000000000005
40,-16.802189299681782,66.16163317362468,66.16135960155063,-67.69594473308987,0.9285578375889195,0.893035296143757,-1.7788845780822966,-1.0,-33.49960656384929,11808,22,-32.465515806383074,0.18000000000000005
41,-12.368541939079856,67.22289464208815,67.22281890445285,-68.75024875005086,0.8608321221545339,0.8904928473962678,-1.7797086921830971,-1.0,-33.77110518691636,12096,23,-32.465515806383074,0.18000000000000005
42,-17.004879250272328,68.15170788764954,68.15135203467474,-69.67127182748582,0.9251983670724763,0.8879571960618099,-1.7798064831230376,-1.0,-32.94377117126064,12384,24,-32.465515806383074,0.18000000000000005
43,-12.549528462625682,69.16203218036227,69.16212765375774,-70.67813844150967,0.9016738019676672,0.8854283947083685,-1.7800497429238424,-1.0,-35.25446292669418,12672,25,-32.465515806383074,0.18000000000000005
44,-16.246587883154312,70.05180459552341,70.05170557234023,-71.55732112460666,0.920529868764182,0.8829069545285569,-1.7796694131361113,-1.0,-29.247805182954565,12960,0,-29.247805182954565,0.19000000000000006
45,-13.063598333807882,70.91770156224568,70.91786244180467,-72.41798506842719,0.9122812698284785,0.8803931213915348,-1.7794164630273979,-1.0,-34.620670008556964,13248,1,-29.247805182954565,0.19000000000000006
46,-14.44879516443395,71.80976716677348,71.80962109565735,-73.30385171042548,0.9293467812240124,0.877886486136251,-1.7794433136781056,-1.0,-34.35373499397786,13536,2,-29.247805182954565,0.19000000000000006
47,-13.292461069262455,72.70625103844537,72.70612231890361,-74.19844868448045,0.9182900023750133,0.8753863624814484,-1.780187315411038,-1.0,-32.70249848261263,13824,3,-29.247805182954565,0.19000000000000006
48,-13.460060922151794,73.44219544198778,73.4420554637909,-74.92881276872423,0.9118537597565187,0.8728932189858623,-1.7802569431563218,-1.0,-36.752399836430435,14112,4,-29.247805182954565,0.19000000000000006
49,-12.306693710119104,74.31271576881409,74.31280647383795,-75.79597073131137,0.8910098105875982,0.8704076129943132,-1.7803336249457464,-1.0,-35.67935910882628,14400,5,-29.247805182954565,0.20000000000000007
50,-16.533888922390172,75.08385949664645,75.08364513185289,-76.56323912408617,0.9307296658969588,0.8679288271814585,-1.7804592607749834,-1.0,-34.15393380519374,14688,6,-29.247805182954565,0.20000000000000007
51,-17.056220359311325,75.87244174215529,75.8725904358758,-77.3467640346951,0.8880086869208349,0.8654572181403637,-1.7804188608295388,-1.0,-34.790169307828585,14976,7,-29.247805182954565,0.20000000000000007
52,-13.625385636979455,76.55145494143169,76.5512719684177,-78.01971848805745,0.9357835367942849,0.8629923909902573,-1.7803792659607198,-1.0,-32.3148800411311,15264,8,-29.247805182954565,0.20000000000000007
53,-14.105502112476046,77.3435250653161,77.34324635399713,-78.80652774704828,0.9325817985874083,0.8605349506768916,-1.7796730800635285,-1.0,-33.40014873104486,15552,9,-29.247805182954565,0.20000000000000007
54,-14.138892821539406,78.06045895152621,78.06026246812608,-79.51910580529108,0.9149619692729579,0.8580844124986066,-1.7811840487023194,-1.0,-33.634828677746405,15840,10,-29.247805182954565,0.21000000000000008
55,-15.036715278787124,78.74248655637105,78.74253993564182,-80.19718175464206,0.8788003543805745,0.8556403643969033,-1.780804954883125,-1.0,-33.16137831758653,16128,11,-29.247805182954565,0.21000000000000008
56,-13.566670076638797,79.48414797253079,79.48432705137465,-80.9326241546207,0.8912493678637676,0.8532037679105997,-1.7809017681413226,-1.0,-33.94478465877789,16416,12,-29.247805182954565,0.21000000000000008
57,-12.789570299069299,80.06773408253987,80.06743703948126,-81.51237228181627,0.8937198447270526,0.8507741803510321,-1.7810270637273788,-1.0,-33.08377973228319,16704,13,-29.247805182954565,0.21000000000000008
58,-14.655989332086573,80.75633607970343,80.75599569744534,-82.19181860817804,0.8754254857906036,0.8483511762072643,-1.7801490194267697,-1.0,-35.86003908688673,16992,14,-29.247805182954565,0.21000000000000008
59,-15.741721559511568,81.44713820351495,81.44696055518256,-82.87970333629184,0.8692670948803425,0.8459355460686816,-1.7809895653691556,-1.0,-31.60840070561872,17280,15,-29.247805182954565,0.22000000000000008
60,-14.01833411281553,82.04156475596957,82.04198590914409,-83.4705696105957,0.8499629012205534,0.8435268263436027,-1.781016779028707,-1.0,-28.317013858715697,17568,0,-28.317013858715697,0.22000000000000008
61,-12.37142217519002,82.55138640933566,82.55104457007513,-83.97296335962083,0.8575393292638991,0.8411242997066842,-1.7813160481552284,-1.0,-33.79060011439941,17856,1,-28.317013858715697,0.22000000000000008
62,-12.339765642755559,83.16255076726277,83.16213634279039,-84.57778355810377,0.8371936494691504,0.8387293931510713,-1.7805925856033962,-1.0,-36.742034939547324,18144,2,-28.317013858715697,0.22000000000000008
63,-14.507589950579202,83.77206097708807,83.7722417778439,-85.18339130613539,0.8188743693754077,0.8363412777996726,-1.780538002649943,-1.0,-34.58764779738397,18432,3,-28.317013858715697,0.22000000000000008
64,-12.225454801702375,84.31712328063117,84.3170001771715,-85.72466508547465,0.8030413367475072,0.8339593116607931,-1.7813196534083948,-1.0,-32.17028591303481,18720,4,-28.317013858715697,0.2300000000000001
65,-11.602037056302079,84.87068661053975,84.8708118332757,-86.273536629147,0.7782673406311207,0.8315842445525858,-1.7809328966670566,-1.0,-35.362665143964826,19008,5,-28.317013858715697,0.2300000000000001
66,-13.228136559960447,85.30501951111688,85.30456908543904,-86.70270064142015,0.7507157327814235,0.8292161462207636,-1.7811059094965458,-1.0,-36.07024106175763,19296,6,-28.317013858715697,0.2300000000000001
67,-12.473676161151824,85.92821767595079,85.92813915676541,-87.32190974553426,0.7599426810112264,0.8268550311525663,-1.7804348630209763,-1.0,-35.34059258581979,19584,7,-28.317013858715697,0.2300000000000001
68,-17.236445327445043,86.446704838011,86.44688471158345,-87.83914934264288,0.701120134546525,0.8245006959057517,-1.7813676127956972,-1.0,-33.57419411125554,19872,8,-28.317013858715697,0.2300000000000001
69,-13.245958687079963,86.90487570232816,86.90470186869304,-88.29400674502055,0.720063506004711,0.8221521255456739,-1.7823036114374797,-1.0,-33.98482966190702,20160,9,-28.317013858715697,0.2400000000000001
70,-13.74506051695592,87.34850162929959,87.3481092453003,-88.7320204310947,0.6810096324317985,0.8198103639814589,-1.7815557250546084,-1.0,-34.47166229894082,20448,10,-28.317013858715697,0.2400000000000001
71,-15.36163337921976,87.87935296694438,87.87949554125468,-89.26041083865695,0.6507963117005097,0.8174758669402864,-1.7814926596151457,-1.0,-32.38864446495893,20736,11,-28.317013858715697,0.2400000000000001
