update,reward_total,energy_cost_total
246,-19.358975,19.358975
247,-19.653658,19.653658
248,-18.890505,18.890505
249,-18.600034,18.600034
250,-20.667767,20.667767
251,-19.589924,19.589924
252,-19.594157,19.594157
253,-20.454475,20.454475
254,-20.783712,20.783712
255,-18.896843,18.896843
256,-19.692702,19.692702
257,-20.458392,20.458392
258,-20.705733,20.705733
259,-21.729464,21.729464
260,-21.446800,21.446800
261,-23.852692,23.852692
262,-23.284178,23.284178
263,-23.807244,23.807244
264,-21.101416,21.101416
265,-20.045762,20.045762
266,-20.842831,20.842831
267,-19.803150,19.803150
268,-20.309447,20.309447
269,-21.792792,21.792792
270,-20.683702,20.683702
271,-20.080354,20.080354
272,-19.800914,19.800914
273,-18.775645,18.775645
274,-19.093690,19.093690
275,-21.288498,21.288498
276,-20.560664,20.560664
277,-17.923417,17.923417
278,-18.830766,18.830766
279,-18.121396,18.121396
280,-17.453651,17.453651
281,-18.109432,18.109432
282,-20.822010,20.822010
283,-21.972480,21.972480
284,-21.256294,21.256294
285,-22.489120,22.489120
286,-21.762497,21.762497
287,-21.989318,21.989318
288,-22.743665,22.743665
289,-22.260102,22.260102
290,-22.671438,22.671438
291,-21.847316,21.847316
292,-23.615493,23.615493
293,-22.494008,22.494008
294,-20.650511,20.650511
295,-21.010026,21.010026
296,-20.255812,20.255812
297,-19.376412,19.376412
298,-19.120878,19.120878
299,-20.285588,20.285588
300,-20.132668,20.132668
301,-20.075504,20.075504
302,-20.552406,20.552406
303,-21.724622,21.724622
304,-18.819375,18.819375
305,-19.119659,19.119659
306,-21.264124,21.264124
307,-23.981682,23.981682
308,-23.581595,23.581595
309,-22.625461,22.625461
310,-21.273494,21.273494
311,-20.431677,20.431677
312,-19.252934,19.252934
313,-18.552985,18.552985
314,-18.458614,18.458614
315,-19.234804,19.234804
316,-18.999561,18.999561
317,-19.430568,19.430568
318,-20.334380,20.334380
319,-21.549669,21.549669
320,-21.550216,21.550216
321,-22.400937,22.400937
322,-22.161439,22.161439
323,-20.959619,20.959619
324,-20.792484,20.792484
325,-20.349315,20.349315
326,-23.348426,23.348426
327,-24.752155,24.752155
328,-23.916204,23.916204
329,-23.879665,23.879665
330,-22.813760,22.813760
331,-21.384168,21.384168
332,-23.104186,23.104186
333,-23.944803,23.944803
334,-22.119226,22.119226
335,-20.942724,20.942724
336,-22.567725,22.567725
337,-22.135344,22.135344
338,-22.192794,22.192794
339,-20.928694,20.928694
340,-19.892840,19.892840
341,-18.890846,18.890846
342,-18.444153,18.444153
343,-19.095476,19.095476
344,-17.993891,17.993891
345,-18.125049,18.125049
346,-18.622166,18.622166
347,-18.866252,18.866252
348,-18.739788,18.739788
349,-17.205395,17.205395
350,-18.181236,18.181236
351,-18.441997,18.441997
352,-19.084585,19.084585
353,-18.487262,18.487262
354,-21.611824,21.611824
355,-22.617649,22.617649
356,-22.544606,22.544606
357,-22.617101,22.617101
358,-22.700065,22.700065
359,-21.332516,21.332516
360,-19.929201,19.929201
361,-20.942197,20.942197
362,-19.736065,19.736065
363,-20.930388,20.930388
364,-20.218015,20.218015
365,-20.576478,20.576478
366,-20.977580,20.977580
367,-19.424079,19.424079
368,-19.542592,19.542592
369,-18.418596,18.418596
370,-19.886750,19.886750
371,-19.377430,19.377430
372,-19.538866,19.538866
373,-19.192823,19.192823
374,-19.533404,19.533404
375,-19.992870,19.992870
376,-18.613153,18.613153
377,-19.193617,19.193617
378,-18.970097,18.970097
379,-19.280516,19.280516
380,-20.931511,20.931511
381,-21.203850,21.203850
382,-19.957893,19.957893
383,-19.015278,19.015278
384,-20.104626,20.104626
385,-19.397109,19.397109
386,-19.585848,19.585848
387,-22.018698,22.018698
388,-18.754653,18.754653
389,-19.798907,19.798907
390,-19.446993,19.446993
391,-18.612232,18.612232
392,-18.933027,18.933027
393,-17.933137,17.933137
394,-19.100378,19.100378
395,-18.075921,18.075921
396,-18.723217,18.723217
397,-18.999163,18.999163
398,-17.283310,17.283310
399,-19.666563,19.666563
400,-19.398637,19.398637
401,-19.064898,19.064898
402,-18.510959,18.510959
403,-19.064169,19.064169
404,-19.275791,19.275791
405,-19.098032,19.098032
406,-17.216229,17.216229
407,-17.415757,17.415757
408,-16.912501,16.912501
409,-18.010273,18.010273
410,-18.017549,18.017549
411,-18.889219,18.889219
412,-19.418473,19.418473
413,-19.761882,19.761882
414,-19.091399,19.091399
415,-17.901065,17.901065
416,-18.045181,18.045181
417,-20.385925,20.385925
418,-18.594613,18.594613
419,-18.450392,18.450392
420,-18.043779,18.043779
421,-18.389287,18.389287
422,-18.272300,18.272300
423,-18.962329,18.962329
424,-17.725967,17.725967
425,-17.776739,17.776739
426,-17.436266,17.436266
427,-17.543473,17.543473
428,-17.234260,17.234260
429,-20.102049,20.102049
430,-19.656647,19.656647
431,-20.652120,20.652120
432,-18.953047,18.953047
433,-19.050795,19.050795
434,-19.002481,19.002481
435,-18.737633,18.737633
436,-20.128360,20.128360
437,-20.523929,20.523929
438,-18.681418,18.681418
439,-19.894311,19.894311
440,-19.129006,19.129006
441,-20.580387,20.580387
442,-20.381377,20.381377
443,-18.282260,18.282260
444,-19.851265,19.851265
445,-21.521388,21.521388
446,-19.363687,19.363687
447,-21.516743,21.516743
448,-21.270363,21.270363
449,-23.568533,23.568533
450,-25.591631,25.591631
451,-25.294574,25.294574
452,-25.622125,25.622125
453,-23.825017,23.825017
454,-23.102653,23.102653
455,-21.873999,21.873999
456,-18.829930,18.829930
457,-17.333419,17.333419
458,-17.055599,17.055599
459,-17.721062,17.721062
460,-17.070057,17.070057
461,-17.210283,17.210283
462,-17.068276,17.068276
463,-18.711870,18.711870
464,-18.266105,18.266105
465,-20.952705,20.952705
466,-18.857516,18.857516
467,-19.560868,19.560868
468,-20.184624,20.184624
469,-17.472397,17.472397
470,-18.282744,18.282744
471,-18.701719,18.701719
472,-17.371746,17.371746
473,-18.614381,18.614381
474,-17.816972,17.816972
475,-17.290503,17.290503
476,-18.362002,18.362002
477,-19.099941,19.099941
478,-17.716245,17.716245
479,-18.621410,18.621410
480,-18.833372,18.833372
481,-19.100524,19.100524
482,-20.004635,20.004635
483,-20.792891,20.792891
484,-19.719733,19.719733
485,-20.214591,20.214591
486,-19.183133,19.183133
487,-17.664288,17.664288
488,-18.664666,18.664666
489,-18.670318,18.670318
490,-19.234443,19.234443
491,-17.769349,17.769349
492,-19.256326,19.256326
493,-16.438453,16.438453
494,-18.132789,18.132789
495,-18.808534,18.808534
496,-17.878946,17.878946
497,-17.942264,17.942264
498,-18.199582,18.199582
499,-17.655979,17.655979
500,-17.727685,17.727685
501,-17.267000,17.267000
502,-17.147650,17.147650
503,-17.676283,17.676283
