episode,reward,steps,last_soc,final_alpha,buffer_action_std,diff,q1_mean,q2_mean,q1q2_mean
1,-26.07593555589731,864,0.1121962529509007,0.10117870289665507,2.4855430126190186,0.30000000000000016,0.10311081260442734,0.15062659978866577,0.12686870619654655
2,-25.254325564043864,864,0.41730975361323097,0.10118993070788904,2.507876396179199,0.30000000000000016,0.10563957691192627,0.14937135577201843,0.12750546634197235
3,-25.016375800146324,864,0.19086750644561468,0.10120113661473103,2.527641773223877,0.30000000000000016,0.1078757792711258,0.15304911136627197,0.13046244531869888
4,-25.31270911576409,864,0.1496840823840464,0.10121230745600807,2.4775798320770264,0.30000000000000016,0.11073584109544754,0.15707311034202576,0.13390447571873665
5,-26.072005473983598,864,0.4039243206688117,0.10122346151270938,2.4976179599761963,0.31000000000000016,0.11045747995376587,0.15365388989448547,0.13205568492412567
6,-25.207836397759774,864,0.27970331629324213,0.1012346581848256,2.5363659858703613,0.31000000000000016,0.11255688965320587,0.15991340577602386,0.13623514771461487
7,-24.986905715892334,864,0.4581631027995881,0.10124584818392468,2.5129222869873047,0.31000000000000016,0.1153898686170578,0.16359128057956696,0.13949057459831238
8,-25.89372449768949,864,0.1,0.10125701641416056,2.5039706230163574,0.31000000000000016,0.11602595448493958,0.160453200340271,0.13823957741260529
9,-25.517964756571633,864,0.32605484661773193,0.10126816530331784,2.480787992477417,0.31000000000000016,0.11726737022399902,0.16151931881904602,0.13939334452152252
10,-24.773579552922254,864,0.10537063714495563,0.10127931249090191,2.491410970687866,0.3200000000000002,0.12084642797708511,0.16508442163467407,0.1429654248058796
11,-25.073707036794755,864,0.1,0.10129048892934092,2.5327796936035156,0.3200000000000002,0.1225825697183609,0.167079359292984,0.14483096450567245
12,-24.81018338289872,864,0.34966316635527933,0.10130168008643836,2.552461624145508,0.3200000000000002,0.12434011697769165,0.16901761293411255,0.1466788649559021
13,-25.043342970353354,864,0.1543251583220254,0.10131285712339425,2.560330867767334,0.3200000000000002,0.12460153549909592,0.16986581683158875,0.14723367616534233
14,-26.550864449625664,864,0.48399340847883715,0.10132401658604225,2.546729564666748,0.3200000000000002,0.12831145524978638,0.17532414197921753,0.15181779861450195
15,-26.806005638758773,864,0.2770661604359595,0.10133513099127343,2.5326335430145264,0.3300000000000002,0.12932218611240387,0.17541813850402832,0.1523701623082161
